"","x"
"1",28.7941342755221
"2",37.2436880995519
"3",42.841421533376
"4",50.4321458493359
"5",53.7661329959519
"6",57.3557790694758
"7",67.0517021103296
"8",65.6025654205587
"9",65.4416484071407
"10",66.7983908613678
"11",67.814518987434
"12",74.5213589910418
"13",71.2504258647095
"14",70.9967622347176
"15",70.5125261738431
"16",70.521914800629
"17",74.1716201417148
"18",79.7850176994689
"19",75.8979025634471
"20",76.3798378151841
"21",77.7627601835411
"22",78.7510829395615
"23",75.9926318807993
"24",79.1165051772259
"25",76.6606565378606
"26",76.1219082539901
"27",79.4465328368824
"28",75.5636231938843
"29",80.7759768178221
"30",82.7935158950277
"31",82.8128652961459
"32",82.6130267663393
"33",84.8535741656087
"34",83.0132199649233
"35",82.5090563995764
"36",82.7919413300697
"37",82.3382090125233
"38",81.1053333408199
"39",81.0119020484854
"40",83.9515158580616
"41",82.7282493491657
"42",84.9965487176087
"43",83.8523409108166
"44",80.3149099252187
"45",81.7369856825098
"46",87.6657481037546
"47",88.7530851154588
"48",87.1617685677484
"49",88.9272514998447
"50",85.5993486277293
"51",89.7663852886762
"52",89.8218506667763
"53",88.3158906782046
"54",89.7470467339735
"55",89.1982699069194
"56",88.5349169920664
"57",86.5368102060165
"58",86.7273166798986
"59",89.4187065574806
"60",87.4959037418012
"61",88.7224816926755
"62",88.518289179774
"63",88.5286593157798
"64",88.5077055776492
"65",86.7678464599885
"66",87.5295514054596
"67",86.5234023076482
"68",87.19150620047
"69",92.4793241580483
"70",94.064994759392
"71",90.766439094441
"72",90.4619706596714
"73",93.5647848399822
"74",94.7446645353921
"75",93.8978092384059
"76",91.4559872518294
"77",90.0632330065127
"78",90.6075698975474
"79",94.1014115093276
"80",90.1282552932389
"81",98.7012323574163
"82",95.9490110201295
