essay,hours,grade
61.67549749207451,10.630337292118941,2.0
69.54500563622949,7.285226179592319,1.0
48.22930397134486,5.052047754490978,4.0
70.6786516311817,2.8866143612047566,1.0
59.89962258573319,9.545012294823666,3.0
61.16202377184546,11.31083847014523,2.0
67.6247016928604,7.465071803519132,2.0
64.77905898739634,8.471279067942982,2.0
63.20706345616603,8.715373453160055,2.0
49.6910817003072,6.20347356947365,4.0
63.718919602618875,4.7725155078232175,2.0
72.24259336667433,10.981542401885058,1.0
70.5862210579123,5.221540976656804,1.0
58.639861575117116,6.858484503839678,3.0
58.71538006148867,9.798411896596196,3.0
67.39996980587668,9.490729302469248,2.0
60.703763140606284,6.517364203249624,2.0
60.93135117569496,11.802132661516541,2.0
62.340180123933244,8.963131129939304,2.0
59.96622882094051,5.422490295750917,3.0
52.16198434955034,6.409720256022727,3.0
76.58796408904718,15.010477373497242,1.0
60.91969739332782,8.070642116767385,2.0
66.63301596603775,10.972098621491542,2.0
73.61953672283371,14.777646131762424,1.0
60.22247310919171,5.245556196793898,2.0
59.257246898708004,8.672161323850574,3.0
51.93029075725676,8.555462596395666,3.0
59.43010756388334,6.0814437089900695,3.0
69.40871753815948,7.4219054846944434,1.0
65.29861363106654,12.313793741616365,2.0
60.28382972497649,9.934438823884443,2.0
60.85352379780121,7.795298201721834,2.0
71.63334695045575,6.562795611645898,1.0
69.14079390721551,10.282863630304425,1.0
66.47539041564454,5.116392496466559,2.0
63.04775611406321,8.662683575196313,2.0
68.16782807379428,6.593205681831705,2.0
64.74803424621253,3.7053779231669335,2.0
68.28043437175364,12.917868353995765,2.0
60.40523870026315,8.696236108586202,2.0
64.63132480387706,11.215059615618554,2.0
58.25948986813593,6.832448910074522,3.0
52.23524739534146,8.623083882232685,3.0
79.87775049754993,7.843683453774148,1.0
