ID,Gender,Inverted_Women,Upright_Women,Inverted_Men,Upright_Men
1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,0.8333333333333334
2.0,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0
3.0,1.0,0.8333333333333334,1.0,0.75,0.9166666666666666
4.0,2.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,1.0
5.0,2.0,0.5,0.5,0.5,0.5
6.0,2.0,0.5,0.75,0.5,0.6666666666666666
7.0,1.0,0.9166666666666666,1.0,0.75,1.0
8.0,1.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666
9.0,1.0,0.8333333333333334,0.9166666666666666,0.75,0.8333333333333334
10.0,1.0,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334
11.0,2.0,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333
12.0,2.0,1.0,1.0,0.8333333333333334,0.9166666666666666
13.0,2.0,0.9166666666666666,0.9166666666666666,1.0,1.0
14.0,2.0,1.0,1.0,0.5833333333333334,1.0
15.0,2.0,1.0,1.0,0.9166666666666666,1.0
16.0,2.0,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.8333333333333334
17.0,2.0,1.0,1.0,1.0,1.0
18.0,2.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666666
19.0,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334
20.0,2.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,1.0
21.0,2.0,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.75
22.0,2.0,0.75,0.9166666666666666,0.8333333333333334,1.0
23.0,2.0,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0
24.0,2.0,0.5,0.5,0.5833333333333334,0.6666666666666666
25.0,2.0,1.0,1.0,0.5833333333333334,1.0
26.0,1.0,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666
27.0,2.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333334
28.0,2.0,0.9166666666666666,1.0,1.0,1.0
29.0,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
30.0,2.0,1.0,0.9166666666666666,1.0,0.9166666666666666
31.0,2.0,0.75,0.75,0.5,1.0
34.0,2.0,0.9166666666666666,1.0,0.9166666666666666,1.0
35.0,2.0,0.5833333333333334,0.8333333333333334,0.5,0.6666666666666666
36.0,2.0,0.75,0.75,0.5833333333333334,0.6666666666666666
37.0,2.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666
38.0,2.0,0.8333333333333334,1.0,0.5833333333333334,0.9166666666666666
39.0,,1.0,0.8333333333333334,0.6666666666666666,0.75
40.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666
41.0,1.0,0.9166666666666666,1.0,0.75,0.8333333333333334
42.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0
43.0,1.0,0.6666666666666666,1.0,0.75,0.8333333333333334
44.0,1.0,1.0,0.75,0.8333333333333334,1.0
45.0,2.0,0.6666666666666666,0.9166666666666666,0.5833333333333334,0.8333333333333334
46.0,1.0,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0
47.0,1.0,0.8333333333333334,0.6666666666666666,0.5,0.75
48.0,1.0,1.0,0.8333333333333334,0.5,1.0
49.0,2.0,1.0,1.0,0.8333333333333334,1.0
50.0,1.0,0.9166666666666666,0.9166666666666666,0.5,0.9166666666666666
51.0,1.0,0.9166666666666666,1.0,0.75,0.8333333333333334
52.0,1.0,0.9166666666666666,0.75,0.5833333333333334,0.9166666666666666
53.0,1.0,1.0,1.0,0.75,0.9166666666666666
54.0,2.0,1.0,1.0,0.75,0.8333333333333334
55.0,2.0,0.8333333333333334,0.8333333333333334,0.5,1.0
56.0,2.0,1.0,0.9166666666666666,0.8333333333333334,0.8333333333333334
57.0,2.0,0.75,0.6666666666666666,0.5,0.75
