DIAMETER,HEIGHT,VOLUME,LDIAM,LHGT,LVOL
0.6916666666666668,70.0,10.3,-0.36865113498544794,4.2485,2.33214
0.7166666666666667,65.0,10.3,-0.33314444652853825,4.17439,2.33214
0.7333333333333334,63.0,10.2,-0.31015492830383945,4.14313,2.32239
0.875,72.0,16.4,-0.13353139262452263,4.27667,2.79728
0.8916666666666666,81.0,18.8,-0.11466290832013988,4.39445,2.93386
0.9,83.0,19.7,-0.10536051565782628,4.41884,2.98062
0.9166666666666666,66.0,15.6,-0.08701137698962981,4.18965,2.74727
0.9166666666666666,75.0,18.2,-0.08701137698962981,4.31749,2.90142
0.925,80.0,22.6,-0.0779615414697118,4.38203,3.11795
0.9333333333333332,75.0,19.9,-0.06899287148695156,4.31749,2.99072
0.9416666666666668,79.0,24.2,-0.06010392406970532,4.36945,3.18635
0.95,76.0,21.0,-0.05129329438755058,4.33073,3.04452
0.95,76.0,21.4,-0.05129329438755058,4.33073,3.06339
0.975,69.0,21.3,-0.025317807984289897,4.23411,3.05871
1.0,75.0,19.1,0.0,4.31749,2.94969
1.075,74.0,22.2,0.07232066157962608,4.30407,3.10009
1.075,85.0,33.8,0.07232066157962608,4.44265,3.52046
1.1083333333333334,86.0,27.4,0.10285738543970782,4.45435,3.31054
1.1416666666666666,71.0,25.7,0.13248918304607887,4.26268,3.24649
1.15,64.0,24.9,0.13976194237515863,4.15888,3.21487
1.1666666666666667,78.0,34.5,0.15415067982725836,4.35671,3.54096
1.1833333333333333,80.0,31.7,0.16833531481921474,4.38203,3.45632
1.2083333333333333,74.0,36.3,0.18924199963852834,4.30407,3.59182
1.3333333333333333,72.0,38.3,0.28768207245178085,4.27667,3.64545
1.3583333333333334,77.0,42.6,0.3062584580247164,4.34381,3.75185
1.4416666666666667,81.0,55.4,0.3657998517157329,4.39445,4.01458
1.4583333333333333,82.0,55.7,0.377294231141468,4.40672,4.01998
1.4916666666666665,80.0,58.3,0.3998940630587089,4.38203,4.0656
1.5,80.0,51.5,0.4054651081081644,4.38203,3.94158
1.5,80.0,51.0,0.4054651081081644,4.38203,3.93183
1.7166666666666668,87.0,77.0,0.5403844260075351,4.46591,4.34381
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
