   2.5 0 0 1
   7.2 0 0 1
   8.9 0 0 1
   9.3 0 0 1
   9.9 0 0 1
  10.3 0 0 1
  11.6 0 0 1
  14.8 0 0 1
   4.5 0 0 1
   7.0 0 0 1
   8.5 0 0 1
   9.3 0 0 1
   9.8 0 0 1
  10.3 0 0 1
  11.6 0 0 1
  11.7 0 0 1
   5.4 1 0 2
   7.8 1 0 2
   8.0 1 0 2
   9.3 1 0 2
   9.7 1 0 2
  11.1 1 0 2
  11.6 1 0 2
  12.0 1 0 2
  12.8 1 0 2
  13.1 1 0 2
  15.8 1 0 2
   7.5 1 0 2
   7.9 1 0 2
   7.6 1 0 2
   9.4 1 0 2
   9.6 1 0 2
  11.3 1 0 2
  11.6 1 0 2
  11.8 1 0 2
  12.6 1 0 2
  13.2 1 0 2
  16.3 1 0 2
   8.1 0 1 3
   9.5 0 1 3
   9.8 0 1 3
  12.2 0 1 3
  12.3 0 1 3
  12.5 0 1 3
  13.3 0 1 3
  17.5 0 1 3
  24.3 0 1 3
  10.1 0 1 3
  11.8 0 1 3
   9.8 0 1 3
  12.1 0 1 3
  12.5 0 1 3
  12.5 0 1 3
  13.4 0 1 3
  16.1 0 1 3
  25.2 0 1 3
