  1  0  53   8.2   0.11  6
  0  0  66   5.8   0.39  6
  0  1  71   9.1   0.33  6
  1  1  67   8.5   0.87  6
  0  1  63   9.4   0.74  6
  0  0  39   8.0  -0.32  6
  0  0  45  14.8   0.57  6
  1  0  44   8.5   2.75  6
  0  1  64  11.7   0.55  6
  0  1  65  14.8   0.35  5
  0  0  60   9.8   0.74  5
  0  1  64  25.5   0.35  6
  1  1  23  12.6   2.30  6
  0  0  63  11.0   0.41  6
  1  1  36   9.8   1.34  6
  0  0  67   6.2   2.05  6
  0  0  72  10.6   0.88  6
  0  1  76  23.8   0.68  5
  1  1  16   7.2   5.74  6
  1  0  73   6.8   4.94  6
  1  1  68   9.0   2.81  6
  1  0  63   7.0   1.86  6
  0  0  73  14.3   0.48  4
  1  0  19  10.7   2.33  6
  1  0  61   8.7   0.45  6
  1  0  75   6.6   1.24  6
  0  0  41   7.7  -0.69  4
  1  1  55  10.1   3.17  6
  0  0  66  19.2   0.51  5
  0  0  43  15.7  -0.22  6
  0  0  64  19.2   0.17  6
  1  0  50   9.2   1.31  4
  0  1  59  10.0   1.34  6
  1  0  65  10.7   0.75  4
  0  1  72  10.1   0.96  6
  1  1  42   6.1   2.63  5
  1  1  62  11.1   2.52  6
  1  0  74   7.2   2.33  6
  1  0  66   8.0   0.14  6
  1  0  75   5.9   0.76  6
  0  0  55  17.5   1.07  6
  0  0  79  10.2   0.79  5
  1  0  26   7.5   0.72  6
  1  0  52   7.8   0.41  6
  1  0  19  10.7   2.33  6
  0  0  72  10.6   0.88  6
  1  0  50   9.2   1.31  4
  0  0  55  17.5   1.07  6
  1  0  63   7.0   1.86  6
  1  0  74   7.2   2.33  6
  1  0  66   8.0   0.14  6
  1  1  23  12.6   2.30  6
  1  1  55  10.1   3.17  6
  0  1  63   9.4   0.74  6
  0  0  41   7.7  -0.69  4
  0  1  65  14.8   0.35  5
  0  1  59  10.0   1.34  6
  1  0  65  10.7   0.75  4
  0  0  63  11.0   0.41  6
  1  0  26   7.5   0.72  6
  1  0  44   8.5   2.75  6
  0  0  73  14.3   0.48  4
  0  1  71   9.1   0.33  6
  0  1  64  11.7   0.55  6
  1  0  75   5.9   0.76  6
  1  1  36   9.8   1.34  6
  1  0  53   8.2   0.11  6
  0  0  66   5.8   0.39  6
  1  0  52   7.8   0.41  6
  1  0  75   6.6   1.24  6
  0  0  64  19.2   0.17  6
  0  1  76  23.8   0.68  5
  0  0  39   8.0  -0.32  6
  0  1  64  25.5   0.35  6
  0  1  72  10.1   0.96  6
  0  0  67   6.2   2.05  6
  1  1  62  11.1   2.52  6
  1  1  16   7.2   5.74  6
  1  1  68   9.0   2.81  6
  0  0  66  19.2   0.51  5
  0  0  60   9.8   0.74  5
  0  0  43  15.7  -0.22  6
  0  0  45  14.8   0.57  6
  0  0  79  10.2   0.79  5
  1  1  42   6.1   2.63  5
  1  0  61   8.7   0.45  6
  1  1  67   8.5   0.87  6
  1  0  73   6.8   4.94  6
