  105  -52
   47  -30
   44  -13
   39  -16
   31  -29
   30  -23
   14  -20
   28    3
   47  -41
   33  -82
   33  -15
   33  -10
   27  -21
   26  -13
   28  -15
   11    2
   11    6
    6    4
    9   10
   17   11
   21   13
   16   20
   12   22
    3   10
    3   13
    1   18
    3   16
    6   16
    3   22
    6   20
   11   27
    6   27
    6   29
    3   30
    3   33
    3   35
    2   38
    4   35
    5   39
    9   38
    9   40
   11   35
   12   32
   12   35
   14   35
   11   38
   11   40
   14   47
   14   56
   10   56
   10   61
    7   66
    2   66
