    1    17.3
    2    15.9
    3    13.9
    4    11.6
    5     5.0
    6     8.2
    7     6.0
    8     0.5
    9     0.1
   10     3.3
   11     3.6
   12     9.0
   13    12.5
   14     9.0
   15    13.5
   16    10.7
   17    11.8
   18    17.4
   19    12.8
   20    14.7
   21    13.0
   22     6.7
   23     2.5
   24     9.0
   25     4.9
   26     1.1
   27     0.1
   28     1.1
   29     4.7
   30     5.6
   31    10.7
   32    13.4
   33    17.3
   34    11.8
   35    20.2
   36    19.3
   37    18.9
   38    15.7
   39     4.9
   40     9.0
   41     6.7
   42     0.9
   43     1.3
   44     0.0
   45     0.0
   46     2.0
   47     6.0
   48     3.8
   49    10.3
   50    16.2
