  29.273  17.635  27.579
  29.245  17.966  27.526
  29.261  17.808  27.514
  29.302  18.344  27.593
  29.292  17.839  27.549
  29.303  17.461  27.539
  29.295  17.855  27.546
  29.328  17.508  27.511
  29.295  17.635  27.477
  29.320  18.454  27.548
  29.277  18.234  27.756
  29.132  17.461  28.047
  28.868  17.083  28.655
  28.630  16.799  29.187
  28.447  16.247  29.557
  28.302  16.247  29.873
  28.170  16.342  30.187
  28.023  15.664  30.423
  27.908  14.781  30.575
  27.852  15.427  30.790
  27.725  15.049  30.919
  27.680  15.585  31.085
  27.593  15.601  31.200
  27.520  15.175  31.350
  27.435  14.608  31.426
  27.405  15.349  31.599
  27.363  14.813  31.660
  27.336  15.065  31.807
  27.278  15.285  31.826
  27.224  14.355  31.874
  27.216  14.513  31.965
  27.204  14.434  32.010
  27.202  14.939  32.125
  27.170  14.844  32.120
  27.165  14.418  32.120
  27.139  14.277  32.097
  27.146  14.671  32.025
  27.132  14.560  32.175
  27.168  14.954  32.172
  27.176  15.112  32.176
  27.161  14.166  32.191
  27.153  14.387  32.177
  27.183  14.608  32.139
  27.208  14.718  32.199
  27.212  14.623  32.165
  27.276  15.191  32.074
  27.684  14.781  31.227
  28.070  15.664  30.452
  28.375  16.547  29.851
  28.605  16.689  29.535
  28.767  17.366  29.198
  28.908  17.477  28.926
  29.014  17.603  28.655
  29.145  17.808  28.531
  29.188  18.407  28.355
  29.304  18.990  28.259
  29.339  19.132  28.066
  29.406  19.179  27.961
  29.442  18.959  27.877
  29.505  18.817  27.812
  29.509  19.179  27.699
  29.547  19.511  27.667
  29.558  20.094  27.654
  29.607  20.173  27.649
  29.608  19.984  27.602
  29.621  19.826  27.558
  29.634  19.668  27.579
  29.633  19.274  27.570
  29.638  19.747  27.569
