  123.1   150
   84.9   150
   72.8   115
   68.1   140
   63.4   105
   61.6   175
   64.7   200
   53.7   140
   53.7   150
   50.8   160
   47.2   145
   47.7   165
   42.7   105
   39.8   135
   39.8   160
   40.9   175
   40.3   200
   42.7   285
   35.9   290
   35.6   170
   38.0   150
   32.8   140
   29.9   160
   27.0   195
   28.0   220
   31.4   235
   28.8   275
   25.4   245
   19.9   260
   11.5   250
   17.3   305
   21.5   300
   23.6   315
   18.3   375
   15.2   370
   13.6   390
   23.6   420
   24.4   425
   24.4   550
   19.1   520
   15.7   455
   14.4   455
   14.4   475
   12.3   515
   11.0   540
    8.9   545
   10.5   565
   15.7   615
   16.5   625
   17.0   655
   15.2   665
   10.0   600
    9.2   635
    8.4   675
    9.2   700
   14.4   705
    7.6   765
    7.6   825
   12.6   805
   12.1   830
   11.5   905
   11.5   930
    8.4  1010
   10.0  1020
    7.6  1030
    6.6  1055
    6.6  1080
    8.9  1110
    6.6  1145
    7.3  1160
   13.1  1200
    7.1  1205
    6.0  1205
    6.6  1220
    1.3  1235
   10.5  1270
   11.8  1290
    1.8  1340
    6.6  1395
    4.7  1465
