  0.291  2 115.6 3060 39 0
  0.277  3 108.2 3570 40 0
  0.390  3 114.2 3950 41 0
  0.339  3 118.8 3480 40 0
  0.248  3  76.9 3370 39 0
  0.342  3 132.6 3260 40 0
  0.310  2 107.7 4420 42 0
  0.220  3 118.2 3560 40 0
  0.233  2 126.6 3290 38 0
  0.309  2 138.0 3010 40 0
  0.355  2 127.0 3180 40 0
  0.309  2 127.7 3950 40 0
  0.250  2 106.8 3400 40 0
  0.368  3 142.1 2410 38 0
  0.223  2  91.5 2890 42 0
  0.364  5 151.1 4030 40 0
  0.335  4 127.1 3770 42 0
  0.356  9 134.3 2680 40 0
  0.374  5 114.9 3370 41 0
  0.152  3 118.1 3370 40 0
  0.356  4 122.0 3270 40 0
  0.394 15 167.0 3520 41 0
  0.250  4 107.9 3340 41 0
  0.422  5 134.6 3940 41 0
  0.409  7 137.7 3350 40 0
  0.241  6 112.8 3350 39 0
  0.312  6 131.3 3000 40 0
  0.196  6 132.7 3960 40 0
  0.266  7 148.1 3490 40 0
  0.310  7 118.9 2640 39 0
  0.351 11 133.7 3630 40 0
  0.420 11 141.0 2680 38 0
  0.366 10 134.1 3580 40 0
  0.503 17 135.5 3800 39 0
  0.272 15 148.6 3350 40 0
  0.291 18 147.9 3030 40 0
  0.308 22 162.0 3940 42 0
  0.235 34 146.8 4080 40 0
  0.287 36 131.7 3520 40 0
  0.456 17 149.0 3630 40 0
  0.284 19 114.1 3290 40 0
  0.239 24 129.2 3180 40 0
  0.191 24 144.2 3580 40 0
  0.334 16 148.1 3060 40 0
  0.321 20 108.2 3000 37 0
  0.450 18 131.1 4310 40 0
  0.244 40 129.7 3975 40 0
  0.173 40 142.0 3000 40 0
  0.304 41 145.5 3940 41 0
  0.409  2 139.7 3740 40 1
  0.626  3 121.3 3005 38 1
  0.383  2 131.4 4790 40 1
  0.432 11 152.8 1890 38 1
  0.347  5 125.6 2920 40 1
  0.493  8 139.5 2810 39 1
  0.521  6 117.2 3490 38 1
  0.343  5 131.5 3030 37 1
  0.359  5 137.3 2000 41 1
  0.349 24 140.9 3770 40 1
  0.279 30 139.5 2350 40 1
  0.409 16 128.4 2780 39 1
  0.388 19 154.2 2980 40 1
  0.372 16 140.7 2120 38 1
  0.314  2 105.5 2700 39 1
  0.405 40 121.7 3060 41 1
