  0.83   1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0  1  1
  1.09   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0  1  2
  1.12   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0  1  3
  1.17   1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0  1  4
  1.26   1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0  1  5
  1.34   1   1   0   0   0   0   0   1   0   0   0   0   0   0   0   0  1  6
  1.36   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0  1  7
  1.45   1   1  -1  -1  -1  -1  -1  -1  -1   0   0   0   0   0   0   0  1  8
  1.09   1  -1   0   0   0   0   0   0   0   1   0   0   0   0   0   0  2  1
  1.21   1  -1   0   0   0   0   0   0   0   0   1   0   0   0   0   0  2  2
  1.23   1  -1   0   0   0   0   0   0   0   0   0   1   0   0   0   0  2  3
  1.23   1  -1   0   0   0   0   0   0   0   0   0   0   1   0   0   0  2  4
  1.25   1  -1   0   0   0   0   0   0   0   0   0   0   0   1   0   0  2  5
  1.34   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   1   0  2  6
  1.54   1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   1  2  7
  1.60   1  -1   0   0   0   0   0   0   0  -1  -1  -1  -1  -1  -1  -1  2  8
  1.25  -1   1   1   0   0   0   0   0   0   0   0   0   0   0   0   0  3  1
  1.27  -1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0  3  2
  1.39  -1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0  3  3
  1.41  -1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0  3  4
  1.53  -1   1   0   0   0   0   1   0   0   0   0   0   0   0   0   0  3  5
  1.55  -1   1   0   0   0   0   0   1   0   0   0   0   0   0   0   0  3  6
  1.63  -1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0  3  7
  1.80  -1   1  -1  -1  -1  -1  -1  -1  -1   0   0   0   0   0   0   0  3  8
  1.46  -1  -1   0   0   0   0   0   0   0   1   0   0   0   0   0   0  4  1
  1.71  -1  -1   0   0   0   0   0   0   0   0   1   0   0   0   0   0  4  2
  1.81  -1  -1   0   0   0   0   0   0   0   0   0   1   0   0   0   0  4  3
  1.90  -1  -1   0   0   0   0   0   0   0   0   0   0   1   0   0   0  4  4
  1.90  -1  -1   0   0   0   0   0   0   0   0   0   0   0   1   0   0  4  5
  1.94  -1  -1   0   0   0   0   0   0   0   0   0   0   0   0   1   0  4  6
  2.02  -1  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   1  4  7
  2.36  -1  -1   0   0   0   0   0   0   0  -1  -1  -1  -1  -1  -1  -1  4  8
