  322  36  73.0  3  48.4  306.5   9.7  55.3  58.1  54.9
  283  32  60.3  1  69.4  330.6  14.5  70.3  67.7  62.0
  286  33  61.2  2  80.6  443.5  14.5  69.4  66.3  59.0
  335  44  67.1  2  32.3  241.9   4.8  60.1  57.4  44.2
  329  32  70.7  2  61.3  222.6   8.1  60.2  59.3  56.0
  410  37  78.0  1  64.5  322.6  12.9  55.6  54.7  52.4
  362  38  72.1  1  24.2  145.2   2.4  61.0  60.8  50.2
  345  43  72.6  3  48.4  282.3   9.7  59.6  58.0  54.6
  460  43  65.3  0  40.3  177.4   2.4  49.6  47.4  43.6
  327  37  76.2  1  40.3  241.9  17.7  57.2  49.8  48.4
  301  46  75.3  5  88.7  314.5   9.7  60.1  58.0  50.6
  334  36  65.3  2  48.4  153.2   1.6  66.3  61.5  52.6
  365  43  69.8  3  24.2   80.6   3.2  62.7  55.4  53.4
  324  36  73.8  3  46.0  302.6   7.7  53.4  60.5  53.2
  285  31  59.9  1  69.5  334.0  16.2  66.4  68.9  64.5
  287  33  60.7  2  82.1  436.2  10.8  65.0  65.6  61.1
  336  44  67.9  2  33.8  251.4   9.6  67.9  57.7  42.9
  332  33  69.4  2  61.6  215.3   4.4  61.8  60.4  55.1
  408  36  77.9  1  66.3  314.1   8.6  59.1  60.0  50.5
  363  38  71.7  1  25.8  144.2   1.9  56.8  58.4  47.4
  349  44  72.7  3  48.7  275.1   6.1  56.2  52.7  51.5
  463  43  65.7  0  37.3  179.4   3.4  48.6  49.7  46.0
  328  36  78.5  1  39.0  235.9  14.7  56.8  51.1  50.8
  300  47  75.8  5  85.7  315.1  10.0  59.0  58.8  48.5
  336  36  63.6  2  47.8  152.4   1.2  62.1  62.3  53.7
  368  41  68.2  3  25.1   85.0   5.4  63.4  57.5  50.9
  322  35  72.5  3  49.2  310.2  11.6  54.1  59.5  57.0
  282  31  60.7  1  70.0  335.0  16.7  67.5  65.6  66.1
  285  32  62.1  2  81.9  442.3  13.9  66.8  61.0  61.6
  336  42  66.6  2  38.8  235.8   1.7  58.7  57.4  44.5
  332  32  69.6  2  63.7  225.6   9.6  64.0  53.6  57.6
  407  37  79.5  1  67.1  336.2  19.7  54.0  57.5  49.7
  364  40  72.2  1  25.8  148.4   4.0  60.7  60.6  52.8
  344  44  73.0  2  50.7  288.7  12.9  60.4  60.9  56.3
  464  43  66.0  0  41.3  175.4   1.4  47.5  46.0  41.3
  325  37  76.4  1  40.8  242.9  18.2  55.6  50.4  50.0
  301  47  74.3  6  87.2  317.9  11.4  65.1  58.4  49.0
  335  37  65.2  2  53.1  156.3   3.2  70.2  63.3  54.6
  366  44  69.4  3  26.7   87.6   6.7  67.3  60.1  51.9
  322  37  71.6  3  49.3  308.0  10.5  55.9  61.5  51.6
  288  31  61.4  1  68.6  329.8  14.1  69.8  65.6  60.6
  285  33  61.7  2  84.4  443.7  14.6  68.3  67.6  61.1
  332  44  66.3  2  32.4  242.1   4.9  58.2  57.9  43.6
  331  32  70.2  3  57.5  224.7   9.2  58.6  59.8  58.0
  409  38  77.1  1  64.6  317.2  10.2  54.2  52.9  52.1
  364  38  71.0  1  23.1  152.5   6.1  58.7  62.7  49.2
  344  43  74.1  3  49.9  281.3   9.2  62.1  61.4  54.8
  462  42  66.7  1  40.8  173.8   0.6  48.8  47.4  48.1
  327  36  74.1  2  45.5  249.2  21.4  58.4  48.8  51.9
  302  45  75.4  5  89.8  308.8   6.8  57.0  57.9  55.0
  335  37  65.7  2  50.9  150.2   0.1  69.2  62.9  56.5
  368  44  69.6  3  24.9   86.1   6.0  68.6  51.0  53.9
  317  36  72.8  2  45.6  302.3   7.6  59.5  53.8  55.3
  282  32  60.9  1  65.7  331.0  14.7  67.9  67.2  59.1
  284  33  61.8  2  78.9  449.3  17.4  69.4  64.1  56.2
  332  45  66.3  2  34.1  243.7   5.7  64.1  56.4  46.7
  326  32  70.3  2  61.7  221.5   7.5  62.6  63.6  57.2
  412  36  75.6  1  64.5  325.7  14.5  53.9  51.5  51.9
  363  38  71.4  0  27.5  141.7   0.6  61.4  63.4  51.6
  343  43  71.3  3  47.0  277.7   7.4  59.2  55.3  57.2
  459  43  66.8  1  40.4  181.3   4.4  50.2  51.1  43.0
  329  39  75.2  1  38.4  237.1  15.3  61.0  48.1  45.3
  301  46  75.0  4  88.9  308.1   6.5  62.8  61.0  53.0
  337  38  63.9  1  47.1  146.3   1.9  66.9  61.1  48.4
  359  43  69.7  3  21.5   78.8   2.3  60.5  60.1  58.9
