  28.795 15.412 27.104
  28.831 15.916 27.035
  28.839 15.380 27.046
  28.870 15.680 26.984
  28.873 15.806 26.929
  28.967 15.821 27.016
  28.968 16.105 27.001
  28.984 16.121 27.005
  29.052 16.783 26.642
  29.087 16.547 26.714
  28.998 15.900 27.025
  28.803 15.821 27.651
  28.483 15.601 28.383
  28.267 15.002 28.882
  27.989 14.954 29.376
  27.852 14.418 29.749
  27.605 14.355 30.144
  27.501 13.914 30.511
  27.290 13.961 30.914
  27.128 13.677 31.115
  26.957 13.268 31.520
  26.805 13.804 31.678
  26.665 13.394 32.069
  26.510 12.590 32.216
  26.439 12.653 32.508
  26.302 12.495 32.743
  26.172 13.047 33.039
  26.161 12.653 33.007
  26.293 12.779 32.418
  26.565 12.684 31.512
  26.770 12.322 30.677
  26.926 12.085 29.928
  26.953 11.612 29.388
  26.907 11.313 28.936
  26.851 11.502 28.703
  26.734 11.045 28.490
  26.638 10.619 28.376
  26.506 10.288 28.212
  26.409 10.272 28.146
  26.287 10.430 28.187
  26.139  9.610 27.999
  26.017  9.878 27.927
  25.882  9.831 27.884
  25.743 10.162 27.849
  25.604  9.153 27.730
  25.775  9.500 26.570
  25.968  9.295 25.736
  26.028  9.846 25.096
  25.998  9.216 24.600
  25.965  9.042 24.367
  25.892  9.310 24.127
  25.805  9.184 23.964
  25.741  8.901 23.775
  25.638  9.200 23.678
  25.588  9.090 23.676
  25.505  9.011 23.577
  25.428  9.058 23.595
  25.272  9.137 23.811
  24.062  9.153 30.087
  23.723  9.216 33.042
  24.349  9.547 32.666
  25.213 10.682 31.795
  25.849 11.202 30.913
  26.402 11.786 30.195
  26.795 12.921 29.710
  27.081 13.882 29.312
  27.284 13.346 29.061
  27.468 13.740 28.859
  27.632 13.740 28.768
  27.760 13.536 28.547
  27.910 14.387 28.374
  28.061 14.765 28.217
  28.215 14.828 28.020
  28.345 15.648 27.855
  28.507 15.900 27.705
  28.599 15.569 27.604
  28.685 16.358 27.484
  28.769 16.294 27.377
  28.846 16.594 27.325
