   54.3   81.7   1   0   0   0  901
   62.0   84.3   1   0   0   0  901
   62.3   72.8   1   0   0   0  901
   47.3   71.7   1   0   0   0  901
   53.6   76.7   1   0   0   0  901
   38.0   75.8   1   0   0   0  901
   54.2   77.3   1   0   0   0  901
   54.0   86.3   1   0   0   0  901
   53.4   71.8   1   0   0   0  901
   81.5  105.0   0   1   0   0  902
   80.8  113.6   0   1   0   0  902
   74.5  108.7   0   1   0   0  902
   71.9   83.9   0   1   0   0  902
   79.5   89.0   0   1   0   0  902
   73.0   86.1   0   1   0   0  902
   74.7   88.7   0   1   0   0  902
   88.6  117.6   0   1   0   0  902
   83.1  113.9   0   1   0   0  902
   65.0   95.5   0   0   1   0  903
   68.3   95.7   0   0   1   0  903
   67.9   84.0   0   0   1   0  903
   61.0   85.8   0   0   1   0  903
   66.0   98.8   0   0   1   0  903
   81.8  106.2   0   0   1   0  903
   71.4  106.4   0   0   1   0  903
   96.0  115.0   0   0   1   0  903
   91.4  118.5   0   0   1   0  903
   85.6  107.7   0   0   1   0  903
   87.5  113.1   0   0   0   1  906
   93.6  116.5   0   0   0   1  906
   70.4  100.8   0   0   0   1  906
   66.1  101.5   0   0   0   1  906
  101.4  120.8   0   0   0   1  906
   57.0   95.0   0   0   0   1  906
   82.5   91.9   0   0   0   1  906
   80.9   94.0   0   0   0   1  906
   92.7  107.2   0   0   0   1  906
   70.4  104.4   0   0   0   1  906
   75.2   85.4   0   0   0   1  906
   63.5   89.8   0   0   0   1  906
   77.3   95.9   0   0   0   1  906
   79.4   99.5  -1  -1  -1  -1  907
   82.5   99.2  -1  -1  -1  -1  907
   87.9  106.1  -1  -1  -1  -1  907
   66.4   85.2  -1  -1  -1  -1  907
   68.4  106.3  -1  -1  -1  -1  907
   59.5   84.6  -1  -1  -1  -1  907
   58.6   92.1  -1  -1  -1  -1  907
   69.2  101.2  -1  -1  -1  -1  907
   67.5  105.4  -1  -1  -1  -1  907
