   17.4  4.30
   41.1  4.99
   44.5  5.00
   48.4  5.42
   50.9  5.73
   55.0  5.73
   54.8  5.96
   64.8  6.84
   68.5  6.85
   43.0  5.80
   48.4  5.96
   48.4  6.02
   43.0  6.02
   40.6  6.02
   49.4  6.21
   45.2  6.21
   42.5  6.21
   54.8  6.39
   48.4  6.39
   45.0  6.39
   58.2  6.60
   56.2  6.60
   51.3  6.60
   60.1  6.79
   60.6  7.00
   74.6  7.00
   79.2  7.00
   72.4  7.18
   75.3  7.18
   79.7  7.42
   80.2  7.38
   84.1  7.38
   84.4  7.60
   85.6  7.63
   89.5  7.60
   91.4  7.80
   96.8  7.80
  100.2  7.80
   70.4  7.00
   67.0  7.00
   68.5  7.27
   75.8  7.27
   81.9  7.51
   75.8  7.48
   76.3  7.63
   81.9  7.66
   81.2  7.76
   85.3  7.76
   84.6  7.94
   91.4  7.94
   94.1  8.08
   96.6  8.08
   91.9  8.17
   97.3  8.17
   86.1  8.29
   55.0  8.49
