  104   1   0   0   0   0  0  0  1  1
  106   0   1   0   0   0  0  0  1  2
  111   0   0   1   0   0  0  0  1  3
  114   0   0   0   1   0  0  0  1  4
  117   0   0   0   0   1  0  0  1  5
  139  -1  -1  -1  -1  -1  0  0  1  6
   91   1   0   0   0   0  1  0  2  1
   94   0   1   0   0   0  1  0  2  2
  105   0   0   1   0   0  1  0  2  3
  106   0   0   0   1   0  1  0  2  4
  120   0   0   0   0   1  1  0  2  5
  111  -1  -1  -1  -1  -1  1  0  2  6
   22   1   0   0   0   0  0  1  3  1
   14   0   0   1   0   0  0  1  3  3
   15   0   0   0   1   0  0  1  3  4
    8  -1  -1  -1  -1  -1  0  1  3  6
