  0  2  0    1
  0  2  0    2
  0  3  0    3
  0  2  0    4
  1  2  0    5
  1  2  0    6
  0  2  1    7
  0  3  0    8
  0  3  0    9
  0  3  0   10
  1  3  2   11
  0  2  0   12
  0  1  0   13
  0  2  0   14
  1  4  0   15
  0  2  0   16
  0  2  1   17
  0  2  3   18
  1  4  0   19
  1  3  1   20
  0  2  1   21
  0  3  0   22
  1  2  0   23
  0  2  0   24
  0  3  0   25
  1  2  0   26
  1  2  0   27
  0  2  0   28
  0  2  1   29
  0  3  0   30
  0  3  0   31
  0  3  0   32
  0  3  2   33
  0  2  0   34
  0  1  0   35
  0  2  0   36
  0  4  0   37
  1  2  0   38
  0  2  1   39
  1  2  3   40
  0  4  0   41
  1  3  1   42
  0  2  1   43
  0  3  0   44
  0  2  0   45
  0  2  0   46
  0  3  0   47
  0  2  0   48
  0  2  0   49
  0  2  0   50
  0  2  1   51
  0  3  0   52
  0  3  0   53
  0  3  0   54
  0  3  2   55
  1  2  0   56
  0  1  0   57
  0  2  0   58
  0  4  0   59
  0  2  0   60
  0  2  1   61
  0  2  3   62
  0  4  0   63
  0  3  1   64
  0  2  1   65
  0  3  0   66
  0  2  0   67
  0  2  0   68
  0  3  0   69
  0  2  0   70
  0  2  0   71
  1  2  0   72
  0  2  1   73
  0  3  0   74
  0  3  0   75
  0  3  0   76
  1  3  2   77
  0  2  0   78
  0  1  0   79
  0  2  0   80
  1  4  0   81
  0  2  0   82
  0  2  1   83
  1  2  3   84
  0  4  0   85
  0  3  1   86
  0  2  1   87
  0  3  0   88
  1  1  0   89
  1  2  2   90
  0  2  2   91
  1  1  2   92
  0  1  1   93
  1  2  2   94
  1  1  2   95
  1  1  1   96
  1  1  3   97
  1  1  1   98
  1  1  2   99
  1  2  2  100
  0  2  2  101
  0  2  2  102
  0  1  1  103
  1  1  3  104
  1  3  0  105
  1  1  2  106
  1  2  1  107
  1  1  2  108
  1  1  2  109
  1  1  3  110
  1  1  0  111
  0  2  2  112
  1  2  2  113
  0  1  2  114
  1  1  1  115
  1  2  2  116
  1  1  2  117
  1  1  1  118
  0  1  3  119
  1  1  1  120
  1  1  2  121
  1  2  2  122
  1  2  2  123
  1  2  2  124
  1  1  1  125
  1  1  3  126
  1  3  0  127
  1  1  2  128
  1  2  1  129
  1  1  2  130
  0  1  2  131
  1  1  3  132
  1  1  0  133
  1  2  2  134
  0  2  2  135
  1  1  2  136
  1  1  1  137
  1  2  2  138
  1  1  2  139
  1  1  1  140
  1  1  3  141
  1  1  1  142
  0  1  2  143
  1  2  2  144
  1  2  2  145
  1  2  2  146
  1  1  1  147
  1  1  3  148
  1  3  0  149
  1  1  2  150
  1  2  1  151
  1  1  2  152
  1  1  2  153
  0  1  3  154
  1  1  0  155
  1  2  2  156
  1  2  2  157
  1  1  2  158
  1  1  1  159
  0  2  2  160
  0  1  2  161
  1  1  1  162
  0  1  3  163
  1  1  1  164
  0  1  2  165
  1  2  2  166
  1  2  2  167
  1  2  2  168
  0  1  1  169
  1  1  3  170
  1  3  0  171
  1  1  2  172
  1  2  1  173
  1  1  2  174
  1  1  2  175
  1  1  3  176
