  385   6.8
  440   6.8
  440   7.0
  465   7.4
  505   6.8
  505   7.0
  415   7.4
  440   8.0
  505   8.0
  510   8.3
  545   8.0
  450   8.6
  395   9.2
  455  10.0
  545   9.3
  440  10.6
  405  14.9
  525  10.7
  545  10.7
  630  10.7
  620  11.9
  565  11.9
  545  12.0
  540  11.9
  500  12.5
  625  13.2
  605  14.2
  585  14.6
  565  14.6
  505  14.6
  640  15.8
  680  15.8
  660  17.2
  600  17.3
  600  17.4
  585  19.4
  585  19.8
  685  18.6
  740  18.5
  800  19.8
  585  21.0
  630  21.7
  605  23.8
  565  23.8
  900  21.7
