  64.0  0  0   1   1
  75.6  0  0   1   1
  60.6  0  0   1   1
  69.3  0  0   1   1
  63.7  0  0   1   1
  53.3  0  0   1   1
  55.7  0  0   1   1
  70.4  0  0   1   1
  37.7  0  1   1  -1
  53.5  0  1   1  -1
  33.9  0  1   1  -1
  78.6  0  1   1  -1
  46.0  0  1   1  -1
  38.7  0  1   1  -1
  65.8  0  1   1  -1
  68.4  0  1   1  -1
  41.9  1  0  -1   1
  55.0  1  0  -1   1
  32.1  1  0  -1   1
  50.1  1  0  -1   1
  52.1  1  0  -1   1
  56.6  1  0  -1   1
  51.8  1  0  -1   1
  51.7  1  0  -1   1
  25.6  1  1  -1  -1
  23.1  1  1  -1  -1
  32.8  1  1  -1  -1
  43.5  1  1  -1  -1
  12.2  1  1  -1  -1
  35.4  1  1  -1  -1
  28.0  1  1  -1  -1
  41.9  1  1  -1  -1
