   2.3   17.7  1
   2.3   17.7  1
   2.6   27.2  1
   3.9   35.9  1
   3.8   39.7  1
   3.9   41.9  1
   4.4   46.8  1
   3.9   49.5  1
   3.8   51.1  1
   5.4   64.2  1
   5.4   68.5  1
   2.4   12.2  2
   2.4   16.3  2
   2.3   39.1  2
   4.9   43.5  2
   4.9   51.7  2
   4.1   52.7  2
   4.1   56.8  2
   4.3   55.7  2
   2.3   59.3  2
   3.3   63.1  2
   3.9   69.3  2
   4.5   70.7  2
   5.5   76.1  2
   5.0   82.9  2
   6.0   70.7  2
   6.9   63.9  2
  11.5  103.0  2
   3.0   49.5  3
   3.1   45.9  3
   3.3   47.8  3
   3.4   47.3  3
   3.4   50.0  3
   3.6   46.2  3
   3.6   46.8  3
   4.3   65.2  3
   4.5   62.0  3
   4.8   56.3  3
   4.9   57.6  3
   5.2   62.8  3
   5.6   58.2  3
   7.7   68.5  3
   7.9   69.6  3
   8.0   65.2  3
   8.9   72.9  3
   9.0   68.5  3
  10.2   74.8  3
  10.3   76.7  3
   2.3   31.3  4
   2.5   35.1  4
   2.7   35.9  4
   2.9   29.9  4
   3.2   30.7  4
   4.3   34.8  4
   4.6   32.9  4
   5.5   38.6  4
   6.4   41.9  4
   7.6   37.5  4
   8.5   44.9  4
  10.4   40.8  4
  11.0   47.6  4
