   1  23  22  26  30  13  23   6  17
   2  20   6  27  31  13  15   7  52
   3  16  11  32  26  14  24   8  15
   4  19  20  26  37  17  23  10  47
   5  24  13  18  14  10  16   8  37
   6  30  11  28  34  19  23   4  54
   7  20  13  24  27  21  21  12  22
   8  12   9  31  21   6  22   9  16
   9  19   7  21  27  14  30   9   9
  10  22  18  25  30  11  10  10  45
  11  19  11  19  28   8  17   7   4
  12  19  14  29  23  17  28  11  69
  13  16  18  27  24  13  26   8  42
  14  24  19  20  22  18  26   5  54
  15  19  17  26  30  13  22  10  33
  16  38  15  35  27  10  29   6  42
  17  28  14  27  27  14  25   9  49
  18  20  16  33  25   8  24   9  10
  19  14  25  18  25  10  19   8  22
