  3550 100
  6250 100
  5950 100
  5550 100
  6225 100
  4000 100
  4400 100
  3850 100
  3350  50
  3050  50
  2800  50
  2650  50
  2400  50
  2325  50
  2175  50
  2925  50
  1500  20
  1275  20
  1250  20
   975  20
   950  20
   875  20
   475  10
   450  10
   350  10
   375  10
   400  10
   425  10
   320   5
   325   5
   315   5
   320   5
   315   5
   310   5
   215   4
   220   4
   220   4
   210   4
   210   4
   225   4
   160   3
   165   3
   170   3
   165   3
   175   3
   160   3
   115   2
   110   2
   110   2
   115   2
   110   2
   115   2
    50   1
    40   1
    45   1
    45   1
    45   1
    40   1
