   5.8   1    5
   3.2   1    5
   3.9   1    5
   3.8   1    5
  12.6   1   30
  11.8   1   30
  18.9   1   30
  21.9   1   30
  12.7   1  180
  15.2   1  180
  17.3   1  180
  27.2   1  180
   4.1   6    5
   5.3   6    5
   6.9   6    5
   7.6   6    5
  14.9   6   30
  14.6   6   30
  21.9   6   30
  11.1   6   30
  25.9   6  180
  21.0   6  180
  30.4   6  180
  17.6   6  180
   5.5  36    5
   5.4  36    5
   6.9  36    5
   6.0  36    5
  31.4  36   30
  34.4  36   30
  20.7  36   30
  28.1  36   30
  20.1  36  180
  20.4  36  180
  17.7  36  180
  18.8  36  180
