   19.2 10   0
   10.8 10   0
   33.6 10   0
   11.9 10  10
   15.9 10  10
   33.3 10  10
   81.1 10  50
   36.7 10  50
   58.0 10  50
   60.8 10 100
   50.6 10 100
   69.4 10 100
   30.8 25   0
   27.6 25   0
   13.2 25   0
   38.8 25  10
   37.0 25  10
   38.3 25  10
   65.2 25  50
   66.4 25  50
   63.2 25  50
   49.9 25 100
   89.5 25 100
   60.5 25 100
  102.9 50   0
   57.1 50   0
   76.7 50   0
   70.5 50  10
   66.4 50  10
   76.3 50  10
   83.1 50  50
   61.7 50  50
  101.5 50  50
   86.2 50 100
  115.9 50 100
  102.1 50 100
