    6.7  20
    0.0  20
   25.7  20
    4.2  20
    0.0  20
   19.2  20
   18.3  30
   17.7  30
    5.2  30
    0.5  30
    7.9  30
    3.8  30
   14.3  50
    1.4  50
   10.0  50
    0.0  50
   20.1  50
    7.2  50
   41.5  65
   30.1  65
   28.1  65
   39.2  65
   32.9  65
   41.2  65
   57.8  85
   57.2  85
   44.7  85
   41.0  85
   47.4  85
   43.3  85
   65.8 105
   55.7 105
   84.8 105
   63.3 105
   59.1 105
   78.3 105
   78.1 130
   68.7 130
   97.1 130
   75.6 130
   73.6 130
   90.6 130
   91.0 150
   79.6 150
   77.6 150
   88.7 150
   82.4 150
   90.7 150
   77.7 170
   77.1 170
  105.3 170
   79.2 170
   97.1 170
   89.9 170
   97.9 190
   83.2 190
   79.8 190
  102.0 190
   90.3 190
   98.3 190
   97.3 210
   77.3 210
   79.2 210
  101.4 210
   89.7 210
   97.7 210
   95.3 230
  102.9 230
   87.8 230
   98.6 230
   85.4 230
   80.1 230
   98.2 255
   93.3 255
   81.4 255
   88.4 255
   98.2 255
   87.5 255
