usage,tumour
0.0,0.018204373816731522
0.0,0.0007442465581341942
0.0,0.005510963318756307
0.0,0.007208831593430624
0.0,0.03711899428187931
0.0,0.03534114822742927
0.0,0.006345677797287816
0.0,0.032677754220899344
0.0,0.0037317114049342415
0.0,0.0063392088330470765
0.0,0.006807756756436411
0.0,0.023206747991018583
0.0,0.02854508375800532
0.0,0.017440891358676158
0.0,0.008949122088548637
0.0,0.03570407876893196
0.0,0.030482346552524228
0.0,0.02026122254581077
0.0,0.014700553608979214
0.0,0.011678423670899708
1.0,0.765020489489744
1.0,0.742348071462944
1.0,0.221382358494046
1.0,0.940278392556749
1.0,0.620072719849125
1.0,0.333902919657739
1.0,0.472340647398487
1.0,0.784478956898681
1.0,0.759189960717873
1.0,0.0314414747231817
1.0,0.927462724427074
1.0,0.389134033260095
1.0,0.615608461505363
1.0,0.479744347809176
1.0,0.14887789493699
1.0,0.717563064435599
1.0,0.381150847034509
1.0,0.274080537462773
1.0,0.00287481995534683
1.0,0.690768847335041
2.0,1.29288475319253
2.0,1.08491805647504
2.0,1.06731903113194
2.0,0.477526924293854
2.0,1.26193370796158
2.0,0.518903943568915
2.0,0.639161966555091
2.0,1.68706497139649
2.0,1.85463369215979
2.0,1.2182079459738
2.0,1.69104692310644
2.0,2.34207159355312
2.0,1.53829114449368
2.0,1.86986065258176
2.0,0.833181586608044
2.0,0.981809673123103
2.0,0.983510533495795
2.0,1.38694039261398
2.0,1.63018533370533
2.0,0.867798392738456
3.0,4.30640641008568
3.0,2.47382498466035
3.0,2.03903218494212
3.0,3.32442371666704
3.0,3.17902987712345
3.0,2.24443877414961
3.0,3.79546506937852
3.0,2.86420335869983
3.0,2.58029296895028
3.0,4.08893840263206
3.0,3.51309356839188
3.0,3.01606832612168
3.0,3.632578593286
3.0,4.14201610611998
3.0,2.8225620773873
3.0,1.77423552451981
3.0,2.56377516057175
3.0,3.59288799601444
3.0,2.63644503156248
3.0,1.84216302780868
4.0,4.64690722080648
4.0,5.16278947792582
4.0,4.05773103819722
4.0,4.61359487241154
4.0,5.3204748337847
4.0,4.83514007121804
4.0,5.20319243253007
4.0,5.39924957923121
4.0,3.03839068374873
4.0,4.72797332529665
4.0,5.17798662564414
4.0,5.09163822843216
4.0,5.65315082268179
4.0,3.828412069857
4.0,4.87834194634171
4.0,5.21433083575693
4.0,5.3042750803059
4.0,6.0488795726649
4.0,4.13285843055048
4.0,5.42059063158181
5.0,5.16948169695986
5.0,5.0297671995414
5.0,6.1398957228179
5.0,4.89592634914867
5.0,4.64836462812001
5.0,3.87593117167941
5.0,5.25099433981734
5.0,2.70274228647155
5.0,5.30632040122677
5.0,5.36490427177769
5.0,5.42590718468969
5.0,4.42601749884818
5.0,4.8349142979072
5.0,4.12540873865457
5.0,4.0451314842408
5.0,3.67134653113379
5.0,4.42593940547603
5.0,4.61861698248706
5.0,5.10812907307305
5.0,5.54613961761953
