  13.63  0.05
  20.52  0.05
  10.59  0.05
  18.87  0.05
  36.23  0.10
  32.62  0.10
  28.95  0.10
  39.98  0.15
  43.17  0.15
  42.51  0.15
  42.43  0.15
  32.41  0.15
  38.44  0.20
  40.32  0.20
  36.75  0.20
  36.45  0.20
  38.50  0.20
  36.94  0.20
  42.32  0.30
  37.79  0.30
  38.63  0.30
  40.39  0.30
  38.87  0.30
  40.74  0.40
  42.62  0.40
  39.05  0.40
  38.75  0.40
  40.80  0.40
  39.24  0.40
  40.63  0.50
  40.73  0.50
  37.39  0.50
  40.11  0.50
  38.23  0.50
  42.88  0.50
  38.54  0.60
  38.58  0.60
  37.82  0.60
  43.30  0.60
  36.58  0.60
  36.78  0.60
  36.86  0.70
  37.15  0.70
  36.11  0.70
  34.63  0.70
  41.24  0.70
  46.98  0.80
  39.79  0.80
  32.46  0.80
  41.51  0.80
  40.23  0.80
  39.63  0.80
