   16    1  0
   12    1  0
    2    1  0
   41    1  0
   49   30  0
   60   30  0
   73   30  0
   40   30  0
   73   60  0
   69   60  0
   66   60  0
   75   60  0
   83   90  0
   91   90  0
  107   90  0
   92   90  0
    5    1  1
    3    1  1
    4    1  1
    0    1  1
   17   30  1
   13   30  1
   15   30  1
   16   30  1
   21   60  1
   18   60  1
   16   60  1
   30   60  1
   25   90  1
   32   90  1
   34   90  1
   28   90  1
   24  120  1
   33  120  1
   48  120  1
   32  120  1
